subject_id,condition,phase_index,window_index,start_time,end_time,duration,n_samples_eda,label
S01,STRESS,0,0,1361394090.0,1361394150.0,60,240,rest
S01,STRESS,0,1,1361394150.0,1361394210.0,60,240,rest
S01,STRESS,0,2,1361394210.0,1361394270.0,60,240,rest
S01,STRESS,0,3,1361394270.0,1361394330.0,60,240,rest
S01,STRESS,1,0,1361394337.0,1361394397.0,60,240,stress
S01,STRESS,1,1,1361394397.0,1361394457.0,60,240,stress
S01,STRESS,2,0,1361394512.0,1361394572.0,60,240,rest
S01,STRESS,3,0,1361394617.0,1361394677.0,60,240,stress
S01,STRESS,3,1,1361394677.0,1361394737.0,60,240,stress
S01,STRESS,3,2,1361394737.0,1361394797.0,60,240,stress
S01,STRESS,3,3,1361394797.0,1361394857.0,60,240,stress
S01,STRESS,3,4,1361394857.0,1361394917.0,60,240,stress
S01,STRESS,3,5,1361394917.0,1361394977.0,60,240,stress
S01,STRESS,3,6,1361394977.0,1361395037.0,60,240,stress
S01,STRESS,4,0,1361395057.0,1361395117.0,60,240,rest
S01,STRESS,4,1,1361395117.0,1361395177.0,60,240,rest
S01,STRESS,5,0,1361395182.0,1361395242.0,60,240,stress
S01,STRESS,5,1,1361395242.0,1361395302.0,60,240,stress
S01,STRESS,5,2,1361395302.0,1361395362.0,60,240,stress
S01,STRESS,5,3,1361395362.0,1361395422.0,60,240,stress
S01,STRESS,5,4,1361395422.0,1361395482.0,60,240,stress
S02,STRESS,0,0,1361396970.0,1361397030.0,60,240,rest
S02,STRESS,0,1,1361397030.0,1361397090.0,60,240,rest
S02,STRESS,0,2,1361397090.0,1361397150.0,60,240,rest
S02,STRESS,1,0,1361397162.0,1361397222.0,60,240,stress
S02,STRESS,2,0,1361397248.0,1361397308.0,60,240,rest
S02,STRESS,3,0,1361397364.0,1361397424.0,60,240,stress
S02,STRESS,3,1,1361397424.0,1361397484.0,60,240,stress
S02,STRESS,3,2,1361397484.0,1361397544.0,60,240,stress
S02,STRESS,3,3,1361397544.0,1361397604.0,60,240,stress
S02,STRESS,4,0,1361397613.0,1361397673.0,60,240,rest
S02,STRESS,4,1,1361397673.0,1361397733.0,60,240,rest
S02,STRESS,5,0,1361397740.0,1361397800.0,60,240,stress
S02,STRESS,5,1,1361397800.0,1361397860.0,60,240,stress
S02,STRESS,5,2,1361397860.0,1361397920.0,60,240,stress
S02,STRESS,5,3,1361397920.0,1361397980.0,60,240,stress
S02,STRESS,5,4,1361397980.0,1361398040.0,60,240,stress
S03,STRESS,0,0,1362600531.0,1362600591.0,60,240,rest
S03,STRESS,0,1,1362600591.0,1362600651.0,60,240,rest
S03,STRESS,0,2,1362600651.0,1362600711.0,60,240,rest
S03,STRESS,1,0,1362600718.0,1362600778.0,60,240,stress
S03,STRESS,2,0,1362600805.0,1362600865.0,60,240,rest
S03,STRESS,3,0,1362600909.0,1362600969.0,60,240,stress
S03,STRESS,3,1,1362600969.0,1362601029.0,60,240,stress
S03,STRESS,3,2,1362601029.0,1362601089.0,60,240,stress
